ID,Label,Conditions,Formula
7749,Presence of a severe diagnosis,((((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR (((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927)))))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927)))))) OR (7378 = 5397) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7734 = 6015 AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7832 = 6201 AND (8355 = 6926 AND (8356 = 6927))) OR (7832 = 6200 AND (8355 = 6926 AND (8356 = 6927))) OR (8356 = 6928) OR (7835 = 6208 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))))) AND ((8341 = 6912 AND AGE > 60 AND AGE < 5479) AND (((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233))))),
7509,Home care for jaundice. ,"",
7510,Follow up jaundice (follow-up in one day),"",
7743,Complicated abscess,"",
7744,Complicated cellulitis,"",
7752,Cotrimoxazole prophylaxis,"",
7753,ORS (for YI),"",
7514,not to be used complaint category,"",
7517,Urogenital source of fever,"",
7554,Is infant receiving breastmilk?,"",
7526,YI - Severe malformations,(8352 = 6924 AND AGE > 1 AND AGE < 60) AND ((8404 = 7024 AND ((8077 = 6765 AND (7516 = 5595)) OR (8068 = 6747 AND (7516 = 5594)) OR (23386 = 27168) OR (7397 = 5436) OR (8388 = 6987) OR (8388 = 6986) OR ((7597 = 5755 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7597 = 5757 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7807 = 6147 AND (7600 = 5763) OR (7600 = 5764) OR (7600 = 5765))) AND ((8470 = 7112 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8402 = 7016 AND (8469 = 7108 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8470 = 7113 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) AND (8127 = 6888 AND (8094 = 6811)) OR (8094 = 6810) OR (8127 = 6889 AND (8094 = 6811))))) OR (8404 = 7022 AND ((8077 = 6765 AND (7516 = 5595)) OR (8068 = 6747 AND (7516 = 5594)) OR (23386 = 27168) OR (7397 = 5436) OR (8388 = 6987) OR (8388 = 6986) OR ((7597 = 5755 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7597 = 5757 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7807 = 6147 AND (7600 = 5763) OR (7600 = 5764) OR (7600 = 5765))) AND ((8470 = 7112 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8402 = 7016 AND (8469 = 7108 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8470 = 7113 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) AND (8127 = 6888 AND (8094 = 6811)) OR (8094 = 6810) OR (8127 = 6889 AND (8094 = 6811))))) OR (8404 = 7021 AND ((8077 = 6765 AND (7516 = 5595)) OR (8068 = 6747 AND (7516 = 5594)) OR (23386 = 27168) OR (7397 = 5436) OR (8388 = 6987) OR (8388 = 6986) OR ((7597 = 5755 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7597 = 5757 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7807 = 6147 AND (7600 = 5763) OR (7600 = 5764) OR (7600 = 5765))) AND ((8470 = 7112 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8402 = 7016 AND (8469 = 7108 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8470 = 7113 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) AND (8127 = 6888 AND (8094 = 6811)) OR (8094 = 6810) OR (8127 = 6889 AND (8094 = 6811))))) OR (8404 = 7020 AND ((8077 = 6765 AND (7516 = 5595)) OR (8068 = 6747 AND (7516 = 5594)) OR (23386 = 27168) OR (7397 = 5436) OR (8388 = 6987) OR (8388 = 6986) OR ((7597 = 5755 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7597 = 5757 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7807 = 6147 AND (7600 = 5763) OR (7600 = 5764) OR (7600 = 5765))) AND ((8470 = 7112 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8402 = 7016 AND (8469 = 7108 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8470 = 7113 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) AND (8127 = 6888 AND (8094 = 6811)) OR (8094 = 6810) OR (8127 = 6889 AND (8094 = 6811))))) OR (8404 = 7023 AND ((8077 = 6765 AND (7516 = 5595)) OR (8068 = 6747 AND (7516 = 5594)) OR (23386 = 27168) OR (7397 = 5436) OR (8388 = 6987) OR (8388 = 6986) OR ((7597 = 5755 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7597 = 5757 AND (7600 = 5764) OR (7600 = 5765) OR (7600 = 5763)) OR (7807 = 6147 AND (7600 = 5763) OR (7600 = 5764) OR (7600 = 5765))) AND ((8470 = 7112 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8402 = 7016 AND (8469 = 7108 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) OR (8470 = 7113 AND (8469 = 7102 AND (7600 = 5765) OR (7600 = 5764) OR (7600 = 5763))) AND (8127 = 6888 AND (8094 = 6811)) OR (8094 = 6810) OR (8127 = 6889 AND (8094 = 6811)))))),
7335,Dysmenorrhea care,"",
7527,Are Cloxacillin and Gentamicin IM available ? ,"",
7533,Well appearing,"",
7553,Complicated neck mass guidance,"",
8178,Malathion (lice) for hair,"",
7536,Cape Town CDR,(8342 = 6913 AND AGE > 1095 AND AGE < 5479) AND ((7952 = 6480 AND (7855 = 6264 AND (7784 = 6101 AND (7947 = 6470))) OR (7855 = 6265 AND (7784 = 6101 AND (7947 = 6470))))),
7376,White plaques in the mouth,"",
7334,Duration of joint pain or limp,"",
7725,Severe Persistent Diarrhea,"",
7330,Reported joint swelling?,"",
7332,Clotrimazole (genital) cream 1%,"",
7555,RR feasible or not,"",[VS5]
7540,Counsel the caregiver to continue providing half strength gential violet for a total of 7 days,"",
8422,Diazepam rectal vials,"",
7547,Ageusia,"",
10471,Reasons to give paracetamol,"",
7377,Open fracture,"",
7544,Very fast breathing (absolute cut-offs),((7771 = 6076 AND (7354 = 5345 AND ((8402 = 7016 AND (8469 = 7108)) OR (7519 = 5602 AND (8469 = 7102) OR (8469 = 7103) OR (8469 = 7104) OR (8469 = 7105) OR (8469 = 7106)) OR (7538 = 5638 AND (8469 = 7102) OR (8469 = 7103) OR (8469 = 7104) OR (8469 = 7105)) OR (7537 = 5634 AND (8469 = 7103) OR (8469 = 7104) OR (8469 = 7102)) OR (7919 = 6407 AND (8469 = 7102) OR (8469 = 7103)) AND (7817 = 6167) OR (7818 = 6169)))) OR (7811 = 6155 AND (7818 = 6169) OR (7817 = 6167))) AND ((8341 = 6912 AND AGE > 60 AND AGE < 5479) AND (((7823 = 6181) OR (7807 = 6147) AND (7671 = 5892))) OR ((7818 = 6169) OR (7817 = 6167)) AND () OR ((7818 = 6169 AND ((7823 = 6181) OR (7807 = 6147) AND (7671 = 5892))) OR (7817 = 6167 AND ((7823 = 6181) OR (7807 = 6147) AND (7671 = 5892)))) AND () OR (8341 = 6912 AND AGE > 365 AND AGE < 5479) AND ((((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR (((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927)))))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927)))))) OR (7378 = 5397) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7734 = 6015 AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7832 = 6201 AND (8355 = 6926 AND (8356 = 6927))) OR (7832 = 6200 AND (8355 = 6926 AND (8356 = 6927))) OR (8356 = 6928) OR (7835 = 6208 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) AND (7695 = 5944 AND ((8402 = 7016 AND (8469 = 7108)) OR (7519 = 5602 AND (8469 = 7102) OR (8469 = 7103) OR (8469 = 7104) OR (8469 = 7105) OR (8469 = 7106)) OR (7538 = 5638 AND (8469 = 7102) OR (8469 = 7103) OR (8469 = 7104) OR (8469 = 7105)) OR (7537 = 5634 AND (8469 = 7103) OR (8469 = 7104) OR (8469 = 7102)) OR (7919 = 6407 AND (8469 = 7102) OR (8469 = 7103)) AND (7817 = 6167 AND (7841 = 6228) OR (7841 = 6227) OR (7841 = 6229)) OR (7818 = 6169 AND (7841 = 6229) OR (7841 = 6228) OR (7841 = 6227))) OR (7811 = 6155 AND (7817 = 6167 AND (7841 = 6228) OR (7841 = 6227) OR (7841 = 6229)) OR (7818 = 6169 AND (7841 = 6229) OR (7841 = 6228) OR (7841 = 6227)))))) OR (8346 = 6919 AND AGE > 60 AND AGE < 5479) AND ((8092 = 6807 AND (8033 = 6675))) OR (8346 = 6919 AND AGE > 60 AND AGE < 5479) AND ((8392 = 6996 AND (8394 = 7000) OR (8033 = 6675))) OR (8346 = 6919 AND AGE > 60 AND AGE < 5479) AND ((8386 = 6983 AND (8033 = 6675))) OR (8343 = 6916 AND AGE > 60 AND AGE < 5479) AND ((7817 = 6167 AND (7906 = 6379 AND (7671 = 5892) OR (7671 = 5892))) OR (7818 = 6169 AND (7906 = 6379 AND (7671 = 5892) OR (7671 = 5892)))) OR (8341 = 6912 AND AGE > 60 AND AGE < 5479) AND ((7817 = 6167) OR (7818 = 6169))),
10149,Age cutoff for Xerophtalmia Treatment,"",ToMonth
7347,Blood oxygen saturation threshold,"",[VS33]
7548,Anosmia,"",
7606,Birth weight (kg),"",
7546,Vaccination status,"",
7557,Previous diagnosis conjunctivitis or neonatal conjunctivitis,"",
7556,Ampicillin + Cloxacillin po (Ampiclox),"",
7355,Avoid agitation,"",
7345,Fast breathing (in percentile),"",
7346,Very fast breathing (in percentile),"",
7348,Respiratory distress,(8341 = 6912 AND AGE > 60 AND AGE < 5479) AND (((7823 = 6181) OR (7807 = 6147) AND (7671 = 5892))) OR ((7818 = 6169) OR (7817 = 6167)) AND () OR ((7818 = 6169 AND ((7823 = 6181) OR (7807 = 6147) AND (7671 = 5892))) OR (7817 = 6167 AND ((7823 = 6181) OR (7807 = 6147) AND (7671 = 5892)))) AND () OR (8341 = 6912 AND AGE > 365 AND AGE < 5479) AND ((((11937 = 10390 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661)))) OR (11937 = 10389 AND (8356 = 6927 AND (7378 = 5396 AND (7871 = 6297) OR (8026 = 6661))))) OR (((8434 = 7045 AND (7842 = 6235)) OR (7833 = 6204 AND (7842 = 6234)) OR (7451 = 5519 AND (7569 = 5684 AND (7842 = 6234) OR (7842 = 6235))) OR (7839 = 6221 AND (7842 = 6233)) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7819 = 6171 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927)))))) OR (7819 = 6174 AND ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927)))))) OR (7378 = 5397) OR ((7459 = 5526 AND (7368 = 5377) OR (7368 = 5379)) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR ((7823 = 6181) OR (7807 = 6147) AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7734 = 6015 AND (7835 = 6209 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) OR (7832 = 6201 AND (8355 = 6926 AND (8356 = 6927))) OR (7832 = 6200 AND (8355 = 6926 AND (8356 = 6927))) OR (8356 = 6928) OR (7835 = 6208 AND (7832 = 6199 AND (8355 = 6926 AND (8356 = 6927))))) AND (7695 = 5944 AND ((8402 = 7016 AND (8469 = 7108)) OR (7519 = 5602 AND (8469 = 7102) OR (8469 = 7103) OR (8469 = 7104) OR (8469 = 7105) OR (8469 = 7106)) OR (7538 = 5638 AND (8469 = 7102) OR (8469 = 7103) OR (8469 = 7104) OR (8469 = 7105)) OR (7537 = 5634 AND (8469 = 7103) OR (8469 = 7104) OR (8469 = 7102)) OR (7919 = 6407 AND (8469 = 7102) OR (8469 = 7103)) AND (7817 = 6167 AND (7841 = 6228) OR (7841 = 6227) OR (7841 = 6229)) OR (7818 = 6169 AND (7841 = 6229) OR (7841 = 6228) OR (7841 = 6227))) OR (7811 = 6155 AND (7817 = 6167 AND (7841 = 6228) OR (7841 = 6227) OR (7841 = 6229)) OR (7818 = 6169 AND (7841 = 6229) OR (7841 = 6228) OR (7841 = 6227)))))) OR (8346 = 6919 AND AGE > 60 AND AGE < 5479) AND ((8092 = 6807 AND (8033 = 6675))) OR (8346 = 6919 AND AGE > 60 AND AGE < 5479) AND ((8392 = 6996 AND (8394 = 7000) OR (8033 = 6675))) OR (8346 = 6919 AND AGE > 60 AND AGE < 5479) AND ((8386 = 6983 AND (8033 = 6675))) OR (8343 = 6916 AND AGE > 60 AND AGE < 5479) AND ((7817 = 6167 AND (7906 = 6379 AND (7671 = 5892) OR (7671 = 5892))) OR (7818 = 6169 AND (7906 = 6379 AND (7671 = 5892) OR (7671 = 5892)))) OR (8341 = 6912 AND AGE > 60 AND AGE < 5479) AND ((7817 = 6167) OR (7818 = 6169)),
7350,IMCI/IMAI fast breathing,"",
10079,Age range for Hb cutoffs,"",ToMonth
7352,Blood in sputum,"",
7356,Severe anemia (5 to 14 years old),"",
7366,Malaria,((7835 = 6209 AND (8355 = 6926 AND (8356 = 6927)))) AND (((7871 = 6297) OR (8397 = 7006 AND (7878 = 6313) OR (7647 = 5841)) OR (8397 = 7005 AND (7878 = 6313) OR (7647 = 5841)) OR ((7841 = 6229) OR (7882 = 6320) OR (7841 = 6227) OR (7882 = 6322) OR (7882 = 6323) OR (7841 = 6230) OR (7883 = 6325) OR (7883 = 6326) OR (7883 = 6328) OR (7882 = 6321) AND (((7647 = 5841) AND (8026 = 6661) OR (7878 = 6313 AND (8026 = 6660))) AND (7647 = 5841) OR (7878 = 6313))) OR (8026 = 6661 AND (7878 = 6313)) OR (8063 = 6736 AND (7878 = 6313) OR (7647 = 5841))) AND () OR ((8397 = 7006 AND (7878 = 6313) OR (7647 = 5841)) OR (8397 = 7005 AND (7878 = 6313) OR (7647 = 5841)) OR ((7841 = 6229) OR (7882 = 6320) OR (7841 = 6227) OR (7882 = 6322) OR (7882 = 6323) OR (7841 = 6230) OR (7883 = 6325) OR (7883 = 6326) OR (7883 = 6328) OR (7882 = 6321) AND (((7647 = 5841) AND (8026 = 6661) OR (7878 = 6313 AND (8026 = 6660))) AND (7878 = 6313) OR (7647 = 5841))) OR (8026 = 6661 AND (7878 = 6313)) OR (8063 = 6736 AND (7647 = 5841) OR (7878 = 6313)) OR (7871 = 6297)) AND () OR (((7823 = 6181) OR (7807 = 6147))) AND () OR (8341 = 6912 AND AGE > 60 AND AGE < 5479) OR (8341 = 6912 AND AGE > 60 AND AGE < 5479)),
7364,Severe anemia,"",
7758,Severe dehydration,"",
